Date 36O
2006-04-01 0.0127
2006-05-01 0.0002
2006-06-01 0.0144
2006-07-01 0.024
2006-08-01 0.0335
2006-09-01 0.0239
2006-10-01 0.0458
2006-11-01 0.0625
2006-12-01 0.0381
2007-01-01 0.0586
2007-02-01 0.0179
2007-03-01 0.0379
2007-04-01 0.0624
2007-05-01 0.0528
2007-06-01 -0.0007
2007-07-01 0.04
2007-08-01 0.0176
2007-09-01 0.014
2007-10-01 0.0543
2007-11-01 -0.0276
2007-12-01 0.0208
2008-01-01 -0.1157
2008-02-01 0.0474
2008-03-01 0.0112
2008-04-01 0.0432
2008-05-01 0.0224
2008-06-01 -0.0228
2008-07-01 -0.0573
2008-08-01 -0.0038
2008-09-01 -0.0325
2008-10-01 0.0126
2008-11-01 -0.0197
2008-12-01 0.013
2009-01-01 -0.0011
2009-02-01 -0.0104
2009-03-01 0.0147
2009-04-01 0.0265
2009-05-01 0.0465
2009-06-01 0.022
2009-07-01 0.0518
2009-08-01 0.0129
2009-09-01 0.0289
2009-10-01 0.0539
2009-11-01 -0.008
2009-12-01 0.0516
2010-01-01 0.0127
2010-02-01 0.0161
2010-03-01 0.0054
2010-04-01 0.0168
2010-05-01 -0.019
2010-06-01 -0.0043
2010-07-01 0.0303
2010-08-01 0.0016
2010-09-01 0.0255
2010-10-01 0.0245
2010-11-01 0.0164
2010-12-01 0.014
2011-01-01 0.0192
2011-02-01 0.0198
2011-03-01 0.0004
2011-04-01 0.0269
2011-05-01 0.0134
2011-06-01 0.007
2011-07-01 0.0047
2011-08-01 0.0036
2011-09-01 0.0126
2011-10-01 0.0436
2011-11-01 0.0158
2011-12-01 0.0103
2012-01-01 0.0324
2012-02-01 0.0315
2012-03-01 0.0204
2012-04-01 0.0257
2012-05-01 -0.0052
2012-06-01 0.001
2012-07-01 0.0239
2012-08-01 0.034
2012-09-01 0.0042
2012-10-01 0.0237
2012-11-01 0.0221
2012-12-01 0.0127
2013-01-01 0.0384
2013-02-01 0.0046
2013-03-01 0.0265
2013-04-01 -0.0013
2013-05-01 0.0688
2013-06-01 -0.0152
2013-07-01 0.0297
2013-08-01 0.01
2013-09-01 0.0209
2013-10-01 0.0337
2013-11-01 0.003
2013-12-01 0.0226
2014-01-01 -0.0088
2014-02-01 0.0283
2014-03-01 -0.0074
2014-04-01 0.0058
2014-05-01 0.0291
2014-06-01 0.017
2014-07-01 -0.0005
2014-08-01 0.0198
2014-09-01 0.0038
2014-10-01 0.0104
2014-11-01 0.0022
2014-12-01 0.0277
2015-01-01 0.0067
2015-02-01 0.0382
2015-03-01 0.0304
2015-04-01 0.0102
2015-05-01 -0.0031
2015-06-01 0.0022
2015-07-01 0.0296
2015-08-01 -0.0048
2015-09-01 0.006
2015-10-01 0.0474
2015-11-01 0.0265
2015-12-01 0.0033
2016-01-01 -0.0051
2016-02-01 -0.0338
2016-03-01 0.0207
2016-04-01 -0.0101
2016-05-01 0.0567
2016-06-01 -0.0323
2016-07-01 -0.0064
2016-08-01 0.0308
2016-09-01 -0.0161
2016-10-01 -0.037
2016-11-01 -0.005
2016-12-01 -0.0021
2017-01-01 0.0229
2017-02-01 -0.0138
2017-03-01 0.0138
2017-04-01 0.0122
2017-05-01 0.0033
2017-06-01 -0.0118
2017-07-01 0.0374
2017-08-01 0.0098
2017-09-01 0.0106
2017-10-01 0.0516
2017-11-01 -0.0099
2017-12-01 -0.0181
2018-01-01 0.0276
2018-02-01 0.0516
2018-03-01 0.0054
2018-04-01 -0.0236
2018-05-01 -0.0043
2018-06-01 0.0381
2018-07-01 -0.0035
2018-08-01 0.0193
2018-09-01 -0.02
2018-10-01 -0.03
2018-11-01 -0.0414
2018-12-01 0.0151
2019-01-01 0.0189
2019-02-01 0.038
2019-03-01 0.0252
2019-04-01 0.0176
2019-05-01 -0.0303
2019-06-01 0.0082
2019-07-01 0.025
2019-08-01 0.0246
2019-09-01 0.018
2019-10-01 0.0061
2019-11-01 -0.0049
2019-12-01 0.0169
2020-01-01 0.0171
2020-02-01 -0.0064
2020-03-01 -0.0013
2020-04-01 0.027
2020-05-01 -0.0049
2020-06-01 0.0124
2020-07-01 0.027
2020-08-01 0.0094
2020-09-01 -0.0251
2020-10-01 -0.0096
2020-11-01 0.0283
2020-12-01 0.0266
2021-01-01 0.0186
2021-02-01 0.0418
2021-03-01 0.0324
2021-04-01 0.0117
2021-05-01 0.0182
2021-06-01 -0.0069
2021-07-01 0.0069
2021-08-01 0.0154
2021-09-01 0.0283
2021-10-01 0.0143
2021-11-01 0.0118
2021-12-01 0.0339
2022-01-01 0.0064
2022-02-01 0.0139
2022-03-01 -0.0089
2022-04-01 0.0258
2022-05-01 0.0008
2022-06-01 -0.0014
2022-07-01 0.0085
2022-08-01 0.015
2022-09-01 -0.0034
2022-10-01 0.0143
2022-11-01 0.0089
2022-12-01 -0.0024
2023-01-01 0.0222
2023-02-01 -0.0036
2023-03-01 -0.0117
2023-04-01 0.0224
2023-05-01 -0.0123
2023-06-01 0.017
2023-07-01 -0.0045
2023-08-01 0.0272
2023-09-01 -0.0058
2023-10-01 -0.0074
2023-11-01 0.022
2023-12-01 -0.0014
2024-01-01 0.0204
2024-02-01 0.0113
2024-03-01 0.0176
2024-04-01 0.0133
2024-05-01 0.0122
2024-06-01 0.0184
